Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Category,Is_Outlier,Year,Month
Foot Locker,1185732,2020-01-06,Northeast,Massachusetts,Worcester,Men's Street Footwear,68.85,771,53083.35,18307.26,0.3449,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-06,Northeast,Massachusetts,Boston,Women's Athletic Footwear,92.43,162,14973.66,4301.13,0.2872,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-06,Midwest,Illinois,Chicago,Women's Athletic Footwear,113.06,474,53590.44,22767.93,0.4249,In-store,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-06,Midwest,Michigan,Detroit,Men's Athletic Footwear,96.88,225,21798.0,9746.66,0.4471,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-06,Northeast,New York,Buffalo,Men's Athletic Footwear,60.18,372,22386.96,7611.84,0.34,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-06,Midwest,Ohio,Cleveland,Men's Street Footwear,53.63,186,9975.18,2119.39,0.2125,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-06,Northeast,New York,Albany,Men's Apparel,25.41,29,736.89,336.08,0.4561,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-06,West,Washington,Spokane,Men's Street Footwear,62.08,492,30543.36,13962.17,0.4571,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-07,Northeast,New York,Albany,Men's Street Footwear,48.23,740,35690.2,9108.38,0.2552,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-07,West,Colorado,Colorado Springs,Women's Street Footwear,83.94,380,31897.2,13745.22,0.4309,In-store,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-07,Southeast,Georgia,Savannah,Women's Apparel,30.45,813,24755.85,10156.97,0.4103,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-07,Southeast,Georgia,Savannah,Men's Athletic Footwear,62.04,507,31454.28,9083.23,0.2888,Outlet,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-07,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,53.26,667,35524.42,14375.65,0.4047,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-07,Midwest,Illinois,Springfield,Women's Athletic Footwear,51.51,463,23849.13,6035.47,0.2531,Outlet,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-07,Northeast,New Jersey,Newark,Men's Apparel,26.08,349,9101.92,4023.66,0.4421,In-store,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-07,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,49.52,485,24017.2,9457.02,0.3938,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-07,Midwest,Ohio,Columbus,Women's Apparel,30.17,112,3379.04,1528.23,0.4523,In-store,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-07,Southeast,Virginia,Virginia Beach,Women's Apparel,46.33,115,5327.95,2262.18,0.4246,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-08,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,28.83,510,14703.3,5811.22,0.3952,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-08,West,Nevada,Reno,Men's Apparel,52.62,822,43253.64,22220.27,0.5137,In-store,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-08,Midwest,Illinois,Springfield,Women's Street Footwear,76.4,108,8251.2,2941.75,0.3565,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-08,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,61.31,116,7111.96,3560.26,0.5006,In-store,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-08,West,Washington,Spokane,Men's Athletic Footwear,54.47,58,3159.26,1249.96,0.3956,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-08,Northeast,New York,Albany,Women's Street Footwear,91.51,574,52526.74,22004.38,0.4189,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-08,Midwest,Minnesota,Saint Paul,Men's Apparel,39.79,838,33344.02,17718.02,0.5314,In-store,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-08,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60.99,145,8843.55,1645.3,0.186,Outlet,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-09,Southeast,Georgia,Savannah,Men's Athletic Footwear,85.98,614,52791.72,8096.83,0.1534,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-09,Northeast,Massachusetts,Worcester,Women's Street Footwear,88.94,527,46871.38,18633.38,0.3975,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-09,Southeast,Virginia,Virginia Beach,Men's Apparel,52.18,567,29586.06,11148.67,0.3768,In-store,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-09,Southeast,Virginia,Richmond,Women's Street Footwear,73.03,214,15628.42,5475.65,0.3504,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-09,Southeast,Georgia,Savannah,Men's Athletic Footwear,75.8,192,14553.6,3505.73,0.2409,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-09,Northeast,New Jersey,Jersey City,Men's Street Footwear,49.74,720,35812.8,9162.16,0.2558,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-09,South,Tennessee,Nashville,Women's Apparel,47.72,56,2672.32,1113.1,0.4165,In-store,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-09,Southeast,Florida,Miami,Women's Apparel,51.16,204,10436.64,3635.03,0.3483,Online,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-09,Southeast,Georgia,Savannah,Women's Athletic Footwear,84.78,72,6104.16,3137.93,0.5141,In-store,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-09,Southeast,Florida,Tampa,Men's Apparel,51.51,355,18286.05,5017.0,0.2744,Online,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-09,Northeast,Massachusetts,Boston,Women's Apparel,43.06,781,33629.86,14316.65,0.4257,In-store,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-10,Midwest,Michigan,Grand Rapids,Women's Apparel,52.84,321,16961.64,5310.74,0.3131,Online,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-10,Southeast,Florida,Orlando,Men's Apparel,42.15,456,19220.4,961.02,0.05,Outlet,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-10,Southeast,North Carolina,Charlotte,Women's Apparel,27.61,678,18719.58,6648.01,0.3551,In-store,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-10,Southeast,Georgia,Atlanta,Men's Street Footwear,63.79,15,956.85,267.37,0.2794,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-10,Southeast,Georgia,Atlanta,Women's Athletic Footwear,96.32,502,48352.64,22136.9,0.4578,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-10,Northeast,Massachusetts,Boston,Women's Athletic Footwear,55.55,401,22275.55,10406.0,0.4671,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-10,Midwest,Michigan,Grand Rapids,Men's Street Footwear,67.7,782,52941.4,6350.85,0.12,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-11,Northeast,Massachusetts,Worcester,Men's Athletic Footwear,89.42,848,75828.16,26939.29,0.3553,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-11,Midwest,Illinois,Springfield,Women's Apparel,32.14,627,20151.78,7738.04,0.384,In-store,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-11,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,81.84,157,12848.88,5028.57,0.3914,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-11,Midwest,Illinois,Springfield,Women's Street Footwear,61.04,546,33327.84,12520.53,0.3757,Online,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-11,South,Texas,Austin,Women's Athletic Footwear,68.0,156,10608.0,5103.33,0.4811,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-11,Southeast,Florida,Tampa,Women's Street Footwear,77.28,448,34621.44,14517.71,0.4193,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-11,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.1,202,10120.2,3160.46,0.3123,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-11,Midwest,Minnesota,Minneapolis,Women's Street Footwear,37.9,81,3069.9,365.54,0.1191,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-11,Northeast,New York,New York,Men's Street Footwear,100.55,202,20311.1,8224.02,0.4049,In-store,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-11,Southeast,Florida,Orlando,Men's Apparel,53.75,199,10696.25,5631.05,0.5265,In-store,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-11,Midwest,Ohio,Columbus,Women's Athletic Footwear,102.68,628,64483.04,18313.88,0.284,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-11,Southeast,Florida,Tampa,Men's Street Footwear,82.44,82,6760.08,2770.32,0.4098,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-11,West,California,San Diego,Men's Athletic Footwear,92.37,448,41381.76,13704.56,0.3312,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-11,South,Louisiana,Baton Rouge,Men's Athletic Footwear,69.85,166,11595.1,4036.2,0.3481,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-12,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,76.43,813,62137.59,29152.83,0.4692,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-12,Midwest,Michigan,Detroit,Men's Apparel,48.01,769,36919.69,7653.11,0.2073,Outlet,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-12,West,Nevada,Las Vegas,Women's Athletic Footwear,102.59,167,17132.53,5783.09,0.3376,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-12,West,Nevada,Reno,Women's Athletic Footwear,87.71,726,63677.46,17667.61,0.2775,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-12,West,Nevada,Las Vegas,Men's Street Footwear,75.14,702,52748.28,14361.74,0.2723,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-12,West,California,Los Angeles,Men's Apparel,57.09,585,33397.65,12794.83,0.3831,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-12,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,112.43,606,68132.58,27500.1,0.4036,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-12,Southeast,Virginia,Virginia Beach,Men's Athletic Footwear,88.22,744,65635.68,20435.18,0.3113,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-12,Southeast,Georgia,Savannah,Women's Apparel,36.98,119,4400.62,1068.76,0.2429,Online,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-12,Midwest,Illinois,Springfield,Women's Apparel,39.83,237,9439.71,4219.34,0.447,In-store,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-12,Southeast,Virginia,Richmond,Men's Athletic Footwear,70.5,412,29046.0,5242.07,0.1805,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-12,South,Tennessee,Memphis,Men's Apparel,21.36,372,7945.92,2395.58,0.3015,Online,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-12,Southeast,Georgia,Atlanta,Women's Apparel,33.45,649,21709.05,4143.03,0.1908,Outlet,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-12,Northeast,Massachusetts,Boston,Men's Athletic Footwear,93.4,740,69116.0,15713.47,0.2273,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-12,Midwest,Minnesota,Saint Paul,Women's Apparel,30.2,56,1691.2,714.2,0.4223,In-store,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-12,Midwest,Illinois,Chicago,Men's Apparel,45.83,670,30706.1,10330.56,0.3364,Online,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-13,South,Texas,Dallas,Men's Apparel,26.4,140,3696.0,875.44,0.2369,Outlet,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-13,Southeast,Virginia,Richmond,Women's Athletic Footwear,85.41,602,51416.82,18636.79,0.3625,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-13,South,Tennessee,Memphis,Women's Street Footwear,82.28,541,44513.48,18561.6,0.417,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-13,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,59.63,815,48598.45,19351.27,0.3982,In-store,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-13,West,Washington,Seattle,Women's Apparel,27.54,586,16138.44,2977.48,0.1845,Outlet,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-13,Northeast,New York,New York,Women's Athletic Footwear,63.24,626,39588.24,14027.81,0.3543,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-13,Northeast,New York,Albany,Men's Street Footwear,79.62,668,53186.16,19754.69,0.3714,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,66.67,101,6733.67,1543.36,0.2292,Outlet,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-13,Southeast,Virginia,Richmond,Women's Athletic Footwear,93.95,143,13434.85,2479.56,0.1846,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-13,Midwest,Illinois,Chicago,Women's Street Footwear,43.5,367,15964.5,6144.8,0.3849,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,94.23,558,52580.34,20039.75,0.3811,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-14,South,Tennessee,Nashville,Men's Athletic Footwear,74.59,164,12232.76,4380.89,0.3581,In-store,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-14,South,Texas,Houston,Women's Athletic Footwear,53.21,348,18517.08,2215.4,0.1196,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-14,Midwest,Ohio,Cleveland,Women's Athletic Footwear,65.67,772,50697.24,17866.03,0.3524,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-14,Southeast,Georgia,Atlanta,Women's Athletic Footwear,66.09,834,55119.06,19537.53,0.3545,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-14,South,Texas,Dallas,Men's Apparel,60.69,378,22940.82,7857.05,0.3425,In-store,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-14,Southeast,North Carolina,Raleigh,Men's Apparel,29.24,451,13187.24,4101.62,0.311,Online,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-14,Southeast,Virginia,Richmond,Women's Apparel,24.81,694,17218.14,6438.78,0.374,Online,Apparel,False,2020,2020-01
